prompt,chosen,rejected
UE Registration Failure with cause ngKSI already in use and high registration reject rate observed in AMF,"**Recommended investigative steps**
(1) Check AMF security context management
(2) Verify UE security capability handling
(3) Examine authentication vector management in AUSF
(4) Validate UDM subscription data
(5) Restart affected AMF instance if persistent
(6) Check for potential replay attacks by analyzing SUCI/SUPI allocation patterns",Check AMF security context management; verify UE security capability handling; examine authentication vector management in AUSF; validate UDM subscription data; restart affected AMF instance if persistent; check for potential replay attacks by analyzing SUCI/SUPI allocation patterns
Periodic Registration Update timeout occurring for multiple subscribers in specific tracking area with RRC connection drops immediately following NAS Registration Accept message,"**Recommended investigative steps**
(1) Analyze RRC connection statistics for affected gNBs
(2) Verify N2 interface stability between gNB and AMF
(3) Check AMF timer settings for registration update
(4) Examine cell RF performance metrics for coverage gaps
(5) Verify tracking area configuration in AMF
(6) Check gNB CPU and memory utilization during peak registration periods",Analyze RRC connection statistics for affected gNBs; verify N2 interface stability between gNB and AMF; check AMF timer settings for registration update; examine cell RF performance metrics for coverage gaps; verify tracking area configuration in AMF; check gNB CPU and memory utilization during peak registration periods
N2 Handover failures with cause Resource Unavailable predominantly during peak hours impacting VoNR calls,"**Recommended investigative steps**
(1) Check target gNB resource allocation policies
(2) Verify QoS flow admission control settings
(3) Analyze PRB utilization in target cells
(4) Examine UE radio capabilities handling; check AMF load balancing configuration
(5) Verify NG-RAN resource status in target node
(6) Monitor N2 interface congestion metrics
(7) Analyze E2E network slicing QoS guarantees for voice slices",Check target gNB resource allocation policies; verify QoS flow admission control settings; analyze PRB utilization in target cells; examine UE radio capabilities handling; check AMF load balancing configuration; verify NG-RAN resource status in target node; monitor N2 interface congestion metrics; analyze E2E network slicing QoS guarantees for voice slices
Registration Reject with NAS cause PLMN not allowed for roaming subscribers despite valid roaming agreements,"**Recommended investigative steps**
(1) Verify PLMN configuration in AMF
(2) Check UDM roaming authorization settings
(3) Examine security context exchange with home network
(4) Validate NSSAI mapping for roaming subscribers
(5) Check NRF service discovery for roaming interfaces
(6) Verify diameter routing agent configuration
(7) Test SEPP security policies
(8) Check for HPLMN identifier mismatches",Verify PLMN configuration in AMF; check UDM roaming authorization settings; examine security context exchange with home network; validate NSSAI mapping for roaming subscribers; check NRF service discovery for roaming interfaces; verify diameter routing agent configuration; test SEPP security policies; check for HPLMN identifier mismatches
PDU Session Establishment failures for data sessions during mobility with SM cause insufficient resources,"**Recommended investigative steps**
(1) Check SMF dimensioning and capacity
(2) Verify UPF resource allocation
(3) Examine PCF policies for affected data flows
(4) Analyze NSSAI to S-NSSAI mapping
(5) Check QoS profile configurations
(6) Monitor UPF CPU and memory utilization
(7) Verify PFCP association between SMF and UPF
(8) Analyze N4 interface stability during mobility events",Check SMF dimensioning and capacity; verify UPF resource allocation; examine PCF policies for affected data flows; analyze NSSAI to S-NSSAI mapping; check QoS profile configurations; monitor UPF CPU and memory utilization; verify PFCP association between SMF and UPF; analyze N4 interface stability during mobility events
UE reported No Network Service after successful registration in areas with good coverage and RSRP values better than -90dBm,"**Recommended investigative steps**
(1) Check PDU session state management
(2) Verify APN configuration in UDM
(3) Examine DNS resolution for data services
(4) Analyze DNN configuration in SMF
(5) Verify DNAI selection in UPF
(6) Check application detection rules
(7) Analyze protocol configuration options
(8) Verify default QoS rule enforcement
(9) Check UE NAS capability handling",Check PDU session state management; verify APN configuration in UDM; examine DNS resolution for data services; analyze DNN configuration in SMF; verify DNAI selection in UPF; check application detection rules; analyze protocol configuration options; verify default QoS rule enforcement; check UE NAS capability handling
PDU Session modification failures during QoS flow addition with SM cause service option temporarily out of order,"**Recommended investigative steps**
(1) Check SMF QoS management function
(2) Verify PCF policy decision points
(3) Examine dynamic PCC rule creation
(4) Analyze binding mechanisms between QoS flows and DRBs
(5) Verify correct QFI assignment
(6) Check RAN notification of QoS flow establishment
(7) Verify UPF capability to support additional QoS flows
(8) Examine QoS monitoring mechanisms,Check SMF QoS management function; verify PCF policy decision points; examine dynamic PCC rule creation; analyze binding mechanisms between QoS flows and DRBs; verify correct QFI assignment; check RAN notification of QoS flow establishment; verify UPF capability to support additional QoS flows; examine QoS monitoring mechanisms
GUTI reallocation failures with AMF reporting Old GUTI not recognized causing additional authentication procedures,**Recommended investigative steps**
(1) Verify GUTI allocation algorithm in AMF
(2) Check temporary identifier management
(3) Examine context data storage duration
(4) Analyze AMF restart recovery procedures
(5) Verify GUTI reallocation frequency
(6) Check UE identity request/response procedures
(7) Examine NAS signaling connection management
(8) Verify AMF context data persistence mechanisms",Verify GUTI allocation algorithm in AMF; check temporary identifier management; examine context data storage duration; analyze AMF restart recovery procedures; verify GUTI reallocation frequency; check UE identity request/response procedures; examine NAS signaling connection management; verify AMF context data persistence mechanisms
Session management back-off timer excessively triggered for corporate APNs with high congestion control activation,"**Recommended investigative steps**
(1) Verify SMF dimensioning for corporate DNNs
(2) Check NSSAI capacity planning
(3) Examine PCF congestion control policies
(4) Analyze SMF overload control thresholds
(5) Verify UPF capacity for enterprise traffic
(6) Check back-off timer values configuration
(7) Examine load balancing across SMF instances
(8) Verify proper logging of congestion control events
(9) Analyze traffic patterns triggering congestion",Verify SMF dimensioning for corporate DNNs; check NSSAI capacity planning; examine PCF congestion control policies; analyze SMF overload control thresholds; verify UPF capacity for enterprise traffic; check back-off timer values configuration; examine load balancing across SMF instances; verify proper logging of congestion control events; analyze traffic patterns triggering congestion
Network slice specific authentication failures despite successful primary authentication,"**Recommended investigative steps**
(1) Verify slice specific authentication configuration
(2) Check Re-authentication indicator handling
(3) Examine NSSF slice selection function
(4) Analyze AAA server integration for enterprise slices
(5) Verify EAP-AKA' implementation
(6) Check secondary authentication procedure
(7) Examine slice specific credentials management
(8) Verify secondary authorization data in UDM
(9) Analyze secondary authentication timeout handling",Verify slice specific authentication configuration; check Re-authentication indicator handling; examine NSSF slice selection function; analyze AAA server integration for enterprise slices; verify EAP-AKA' implementation; check secondary authentication procedure; examine slice specific credentials management; verify secondary authorization data in UDM; analyze secondary authentication timeout handling
Frequent PDU session release with cause due to UE generated NAS signaling connection release for IoT devices,"**Recommended investigative steps**
(1) Check UE power saving mode configuration
(2) Verify extended DRX settings for IoT
(3) Examine session release timer settings
(4) Analyze keepalive mechanism implementation
(5) Verify TCP optimization for IoT traffic
(6) Check application behavior patterns
(7) Examine mobile terminated data handling
(8) Verify UPF buffering capabilities
(9) Analyze IoT platform integration with network functions",Check UE power saving mode configuration; verify extended DRX settings for IoT; examine session release timer settings; analyze keepalive mechanism implementation; verify TCP optimization for IoT traffic; check application behavior patterns; examine mobile terminated data handling; verify UPF buffering capabilities; analyze IoT platform integration with network functions
