instruction,input,output
Troubleshoot the mobile network issues,N2 interface connection failure;SCTP link down; IP route misconfigured; gNB IP mismatch,Check SCTP connection on N2 (NGAP); verify IP addresses and port 36412; coordinate with RAN to re-establish link
Troubleshoot the mobile network issues,Missing Initial UE message from gNB;N2 signaling lost due to network congestion; NGAP message dropped; gNB misrouting,Capture NGAP packets on N2; check for packet loss or delay; ensure correct gNB targeting of AMF
Troubleshoot the mobile network issues,NAS signaling failure during registration;Corrupted NAS message; UE-AMF cipher mismatch; NAS protocol version issue,Examine AMF NAS logs; verify security algorithms compatibility; have UE reattempt registration after resetting
Troubleshoot the mobile network issues,Authentication failure for UE;AUSF not reachable; invalid subscriber credentials; AKA sync failure,Verify AUSF connectivity (N8); check subscriber key and OPC in UDM; perform AKA re-synchronization if needed
Troubleshoot the mobile network issues,Security mode command rejected;UE doesn't support required ciphering/integrity algorithm; key mismatch; NAS integrity check failure,Negotiate a compatible security algorithm; check UE capability info; attempt re-authentication if needed
Troubleshoot the mobile network issues,Registration rejected due to no available network slice;Requested S-NSSAI not configured in core; NSSF returned no candidate slice; subscriber not authorized for slice,Check NSSF slice configuration and UE subscription; add missing slice info or advise UE to use a valid slice
Troubleshoot the mobile network issues,AMF overload condition triggered;High signaling volume (mass UE registrations); CPU resource exhaustion; memory saturation,Activate AMF overload control features; scale out AMF instances; redistribute UE load or optimize signaling
Troubleshoot the mobile network issues,AMF application crash;Software bug in AMF service; unhandled exception under specific call flow; memory leak leading to restart,Collect AMF crash logs/core dump; apply latest Ericsson patch for AMF; consider rolling back recent update or restarting node
Troubleshoot the mobile network issues,AMF-SMF communication failure (N11 timeout);SMF not responding to AMF requests; HTTP/2 SBI interface issue; AMF or SMF service hung,Verify SMF status and logs; ensure AMF-SMF service endpoints registered in NRF; investigate HTTP timeout cause
Troubleshoot the mobile network issues,Subscription data fetch failure;UDM not responding to AMF query; Nudm interface credentials issue; subscriber data missing in UDM,Check UDM health and connectivity; verify Nudm configuration (URI; certs); ensure subscriber is provisioned in UDM
Troubleshoot the mobile network issues,Periodic registration update failure;AMF timer misconfiguration; UE not responding to periodic update requests; context retention issue,Verify periodic registration timer values; check if UE enters unreachable state; adjust timer settings or force re-registration
Troubleshoot the mobile network issues,Stale UE context not cleared on AMF;Previous deregistration not fully processed; AMF software bug preventing context release,Manually remove or purge stale UE context via O&M; apply fix to AMF software for proper context release; monitor for recurrences
Troubleshoot the mobile network issues,Duplicate 5G-GUTI assigned to UEs;AMF identity allocation algorithm fault; race condition in AMF cluster; software bug causing GUTI collision,Check AMF logs for GUTI allocation issues; restart or isolate problematic AMF instance; update software to fix the bug
Troubleshoot the mobile network issues,Inter-AMF context transfer failure;Target AMF not reachable or rejecting context; network issue between AMFs; slice relocation logic error,Verify connectivity between AMF regions; ensure target AMF is operational and slice-configured; allow UE to re-register if transfer fails
Troubleshoot the mobile network issues,Memory exhaustion on AMF instance;Memory leak in AMF service; too many active UE contexts without cleanup; known issue in current release,Monitor AMF memory usage; restart AMF service to reclaim memory; plan upgrade to fixed software version
Troubleshoot the mobile network issues,High CPU utilization impacting AMF signaling;Excessive signaling load; inefficient message processing due to bug; lack of CPU resources on VM,Profile AMF CPU usage to identify bottleneck; increase CPU allocation or instance count; optimize configuration or update software
Troubleshoot the mobile network issues,AMF configuration mismatch with RAN;Tracking area code or PLMN ID mismatch between gNB and AMF; network name configuration error,Align configuration: update AMF with correct TAC/PLMN info; ensure gNB broadcast and AMF expected values match; resync configuration via O&M
Troubleshoot the mobile network issues,AMF VM migration caused transient outage;Live migration or restart of AMF container/VM; state not seamlessly transferred; brief loss of service during failover,Check cloud infrastructure logs for VM events; configure proper redundancy (e.g.; active-active AMFs); adjust migration strategy to minimize impact
